marker_ID;x;y;z
target 111;58.902141;50.019540;-0.106082
target 113;9.703651;50.006439;-0.104285
target 114;6.972117;50.066376;-0.092459
target 115;43.823010;50.404543;-0.094341
target 116;29.898033;50.387281;-0.093436
target 117;17.293072;50.000598;-0.098007
target 119;50.001522;49.946618;-0.092879
target 120;54.650289;50.000140;-0.102023
target 121;50.016761;50.458468;-0.107533
target 131;29.914998;50.030843;-0.092201
target 136;0.002217;50.456815;-0.102099
target 140;58.932615;50.319122;-0.094374
target 142;36.926522;50.453551;-0.106135
target 144;24.993404;49.986639;-0.101727
target 145;36.941689;49.990963;-0.104945
target 147;0.005613;50.013414;-0.098406
target 149;7.005871;50.486010;-0.131638
target 150;9.717377;50.393152;-0.094560
target 151;54.676671;50.386113;-0.097108
target 153;25.022841;50.396870;-0.104826
target 154;43.799495;50.029310;-0.102388
target 155;64.86;50.51;-0.1
target 156;17.278070;50.449581;-0.102643
target 158;64.86;50;-0.1
