n;Code;Easting;Northing;Elevation;Description;x;y;z;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;GDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;Mount point;CS name;GPS Satellites;GLONASS Satellites;Galileo Satellites;BeiDou Satellites;QZSS Satellites
85;;;;; ;-78.67254831;35.77427763;93.4;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:44:29.0 UTC-04:00;2024-06-20 12:44:29.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;22.652;VRS_RTCM3;Global CS;8;6;0;0;0
86;;;;; ;-78.67253445;35.77429632;93.395;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:44:39.0 UTC-04:00;2024-06-20 12:44:39.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;24.315;VRS_RTCM3;Global CS;8;6;0;0;0
87;;;;; ;-78.67251952;35.77431432;93.406;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:44:48.0 UTC-04:00;2024-06-20 12:44:48.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;26.009;VRS_RTCM3;Global CS;8;6;0;0;0
88;;;;; ;-78.67250516;35.77433211;93.429;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:44:58.0 UTC-04:00;2024-06-20 12:44:58.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;27.787;VRS_RTCM3;Global CS;8;6;0;0;0
89;;;;; ;-78.67249033;35.77435156;93.476;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:45:08.0 UTC-04:00;2024-06-20 12:45:08.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;29.819;VRS_RTCM3;Global CS;8;6;0;0;0
90;;;;; ;-78.67247558;35.77436952;93.491;Global;0.01;0.01;0.016;0.014;2.134;m;FIX;2024-06-20 12:45:20.0 UTC-04:00;2024-06-20 12:45:20.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;31.77;VRS_RTCM3;Global CS;8;6;0;0;0
91;;;;; ;-78.67246132;35.77438848;93.473;Global;0.01;0.01;0.017;0.014;2.134;m;FIX;2024-06-20 12:45:32.0 UTC-04:00;2024-06-20 12:45:32.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;33.891;VRS_RTCM3;Global CS;8;6;0;0;0
92;;;;; ;-78.67244562;35.77440698;93.483;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:45:44.0 UTC-04:00;2024-06-20 12:45:44.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;36.013;VRS_RTCM3;Global CS;8;6;0;0;0
93;;;;; ;-78.6724331;35.77442522;93.537;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:45:55.0 UTC-04:00;2024-06-20 12:45:55.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;38.108;VRS_RTCM3;Global CS;8;6;0;0;0
94;;;;; ;-78.67241789;35.77444341;93.588;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:46:06.0 UTC-04:00;2024-06-20 12:46:06.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;40.258;VRS_RTCM3;Global CS;8;6;0;0;0
95;;;;; ;-78.67260007;35.77418622;93.258;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:46:44.0 UTC-04:00;2024-06-20 12:46:44.0 UTC-04:00;1;1.7;2;;;;-78.67248545;35.77408978;102.343;16.439;VRS_RTCM3;Global CS;8;6;0;0;0
96;;;;; ;-78.67258579;35.77420486;93.31;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:46:57.0 UTC-04:00;2024-06-20 12:46:57.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;17.116;VRS_RTCM3;Global CS;8;6;0;0;0
97;;;;; ;-78.67257044;35.77422308;93.342;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:47:08.0 UTC-04:00;2024-06-20 12:47:08.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;18.027;VRS_RTCM3;Global CS;8;6;0;0;0
98;;;;; ;-78.67255628;35.77424223;93.35;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:47:17.0 UTC-04:00;2024-06-20 12:47:17.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;19.344;VRS_RTCM3;Global CS;8;6;0;0;0
99;;;;; ;-78.67254235;35.77426026;93.376;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:47:26.0 UTC-04:00;2024-06-20 12:47:26.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;20.76;VRS_RTCM3;Global CS;8;6;0;0;0
100;;;;; ;-78.67252748;35.77427877;93.408;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:47:36.0 UTC-04:00;2024-06-20 12:47:36.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;22.37;VRS_RTCM3;Global CS;8;6;0;0;0
101;;;;; ;-78.67251346;35.77429742;93.426;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:47:45.0 UTC-04:00;2024-06-20 12:47:45.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;24.15;VRS_RTCM3;Global CS;8;6;0;0;0
102;;;;; ;-78.67249956;35.77431487;93.425;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:01.0 UTC-04:00;2024-06-20 12:48:01.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;25.911;VRS_RTCM3;Global CS;8;6;0;0;0
103;;;;; ;-78.67248563;35.7743337;93.459;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:11.0 UTC-04:00;2024-06-20 12:48:11.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;27.894;VRS_RTCM3;Global CS;8;6;0;0;0
104;;;;; ;-78.67247111;35.77435172;93.488;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:22.0 UTC-04:00;2024-06-20 12:48:22.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;29.859;VRS_RTCM3;Global CS;8;6;0;0;0
105;;;;; ;-78.67245697;35.77437008;93.502;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:32.0 UTC-04:00;2024-06-20 12:48:32.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;31.92;VRS_RTCM3;Global CS;8;6;0;0;0
106;;;;; ;-78.67244324;35.77438942;93.486;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:43.0 UTC-04:00;2024-06-20 12:48:43.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;34.134;VRS_RTCM3;Global CS;8;6;0;0;0
107;;;;; ;-78.67242728;35.77440877;93.481;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:48:58.0 UTC-04:00;2024-06-20 12:48:58.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;36.41;VRS_RTCM3;Global CS;8;6;0;0;0
108;;;;; ;-78.67241353;35.77442643;93.529;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:49:08.0 UTC-04:00;2024-06-20 12:49:08.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;38.5;VRS_RTCM3;Global CS;8;6;0;0;0
109;;;;; ;-78.67258019;35.77418688;93.276;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:49:44.0 UTC-04:00;2024-06-20 12:49:44.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;15.413;VRS_RTCM3;Global CS;8;6;0;0;0
110;;;;; ;-78.67256492;35.7742057;93.283;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:49:55.0 UTC-04:00;2024-06-20 12:49:55.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;16.28;VRS_RTCM3;Global CS;8;6;0;0;0
111;;;;; ;-78.6725507;35.77422434;93.331;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:05.0 UTC-04:00;2024-06-20 12:50:05.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;17.465;VRS_RTCM3;Global CS;9;6;0;0;0
112;;;;; ;-78.67253506;35.77424326;93.324;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:13.0 UTC-04:00;2024-06-20 12:50:13.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;18.908;VRS_RTCM3;Global CS;9;6;0;0;0
113;;;;; ;-78.67251986;35.77426157;93.34;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:22.0 UTC-04:00;2024-06-20 12:50:22.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;20.498;VRS_RTCM3;Global CS;9;6;0;0;0
114;;;;; ;-78.67250707;35.77428013;93.392;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:31.0 UTC-04:00;2024-06-20 12:50:31.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;22.279;VRS_RTCM3;Global CS;9;6;0;0;0
115;;;;; ;-78.67249246;35.77429964;93.378;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:41.0 UTC-04:00;2024-06-20 12:50:41.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;24.275;VRS_RTCM3;Global CS;9;6;0;0;0
116;;;;; ;-78.67247818;35.77431763;93.412;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:50.0 UTC-04:00;2024-06-20 12:50:50.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;26.187;VRS_RTCM3;Global CS;9;6;0;0;0
117;;;;; ;-78.67246364;35.77433646;93.423;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:50:59.0 UTC-04:00;2024-06-20 12:50:59.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;28.269;VRS_RTCM3;Global CS;9;6;0;0;0
118;;;;; ;-78.67244972;35.77435538;93.437;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:51:09.0 UTC-04:00;2024-06-20 12:51:09.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;30.41;VRS_RTCM3;Global CS;9;6;0;0;0
119;;;;; ;-78.67243496;35.77437361;93.506;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:51:19.0 UTC-04:00;2024-06-20 12:51:19.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;32.52;VRS_RTCM3;Global CS;9;6;0;0;0
120;;;;; ;-78.67242009;35.77439214;93.47;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:51:31.0 UTC-04:00;2024-06-20 12:51:31.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;34.726;VRS_RTCM3;Global CS;9;6;0;0;0
121;;;;; ;-78.67240649;35.77440946;93.505;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:51:42.0 UTC-04:00;2024-06-20 12:51:42.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;36.797;VRS_RTCM3;Global CS;9;6;0;0;0
122;;;;; ;-78.67239226;35.77442781;93.534;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:51:53.0 UTC-04:00;2024-06-20 12:51:53.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;39.016;VRS_RTCM3;Global CS;9;6;0;0;0
123;;;;; ;-78.67257405;35.7741721;93.219;Global;0.011;0.01;0.016;0.015;2.134;m;FIX;2024-06-20 12:52:55.0 UTC-04:00;2024-06-20 12:52:55.0 UTC-04:00;1;1.6;1.9;;;;-78.67248545;35.77408978;102.343;14.017;VRS_RTCM3;Global CS;9;6;0;0;0
124;;;;; ;-78.67255979;35.77419048;93.222;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:53:08.0 UTC-04:00;2024-06-20 12:53:08.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;14.793;VRS_RTCM3;Global CS;9;6;0;0;0
125;;;;; ;-78.67254491;35.77420803;93.282;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:53:19.0 UTC-04:00;2024-06-20 12:53:19.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;15.781;VRS_RTCM3;Global CS;9;6;0;0;0
126;;;;; ;-78.67253105;35.77422724;93.274;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:53:29.0 UTC-04:00;2024-06-20 12:53:29.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;17.255;VRS_RTCM3;Global CS;9;6;0;0;0
127;;;;; ;-78.67251666;35.77424607;93.289;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:53:39.0 UTC-04:00;2024-06-20 12:53:39.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;18.883;VRS_RTCM3;Global CS;9;6;0;0;0
128;;;;; ;-78.67250126;35.77426429;93.297;Global;0.01;0.01;0.016;0.014;2.134;m;FIX;2024-06-20 12:53:49.0 UTC-04:00;2024-06-20 12:53:49.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;20.609;VRS_RTCM3;Global CS;9;6;0;0;0
129;;;;; ;-78.67248704;35.77428259;93.346;Global;0.01;0.01;0.017;0.014;2.134;m;FIX;2024-06-20 12:54:00.0 UTC-04:00;2024-06-20 12:54:00.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;22.468;VRS_RTCM3;Global CS;9;6;0;0;0
130;;;;; ;-78.6724735;35.77430067;93.332;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:54:10.0 UTC-04:00;2024-06-20 12:54:10.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;24.413;VRS_RTCM3;Global CS;9;6;0;0;0
131;;;;; ;-78.67245835;35.7743198;93.382;Global;0.01;0.01;0.016;0.014;2.134;m;FIX;2024-06-20 12:54:21.0 UTC-04:00;2024-06-20 12:54:21.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;26.533;VRS_RTCM3;Global CS;9;6;0;0;0
132;;;;; ;-78.67244411;35.77433885;93.376;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:54:32.0 UTC-04:00;2024-06-20 12:54:32.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;28.713;VRS_RTCM3;Global CS;9;6;0;0;0
133;;;;; ;-78.6724304;35.77435678;93.442;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:54:43.0 UTC-04:00;2024-06-20 12:54:43.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;30.794;VRS_RTCM3;Global CS;9;6;0;0;0
134;;;;; ;-78.67241675;35.77437594;93.423;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:54:53.0 UTC-04:00;2024-06-20 12:54:53.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;33.057;VRS_RTCM3;Global CS;9;6;0;0;0
135;;;;; ;-78.67240065;35.77439398;93.42;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:55:06.0 UTC-04:00;2024-06-20 12:55:06.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;35.273;VRS_RTCM3;Global CS;9;6;0;0;0
136;;;;; ;-78.67238659;35.77441172;93.453;Global;0.01;0.01;0.014;0.014;2.134;m;FIX;2024-06-20 12:55:16.0 UTC-04:00;2024-06-20 12:55:16.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;37.437;VRS_RTCM3;Global CS;9;6;0;0;0
top right;;;;;;-78.67234857;35.77442417;92.906;Global;0.01;0.01;0.015;0.014;2.134;m;FIX;2024-06-20 12:55:33.0 UTC-04:00;2024-06-20 12:55:33.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;39.789;VRS_RTCM3;Global CS;9;6;0;0;0
top left;;;;;;-78.67243777;35.77446834;93.03;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:56:02.0 UTC-04:00;2024-06-20 12:56:02.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;42.831;VRS_RTCM3;Global CS;9;6;0;0;0
bottom left;;;;;;-78.67265371;35.77419005;92.655;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:56:58.0 UTC-04:00;2024-06-20 12:56:58.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;20.305;VRS_RTCM3;Global CS;9;6;0;0;0
bottom right ;;;;;;-78.67256988;35.77414384;92.41;Global;0.01;0.01;0.013;0.014;2.134;m;FIX;2024-06-20 12:57:19.0 UTC-04:00;2024-06-20 12:57:19.0 UTC-04:00;1;1.6;1.8;;;;-78.67248545;35.77408978;102.343;12.454;VRS_RTCM3;Global CS;9;6;0;0;0
